customer_id,branch_id,application_date,region,rural_urban,age,gender,marital_status,household_size,education_level,employment_status,business_type,business_age_years,monthly_income,monthly_expenses,savings_balance,existing_debt,debt_to_income_ratio,savings_to_income_ratio,income_stability,collateral,credit_history_years,previous_defaults,mobile_money_score,loan_amount,loan_term_months,interest_rate,repayment_history,loan_cycle,group_lending,model_version,decision_timestamp,monitoring_date,risk_score,prediction_probability,risk_category,human_review,manual_override,drift_score,loan_status
CUST000001,BR008,2023-02-21,East,Urban,32,Male,Married,2,None,Artisan,Retail,18,141817.57,69052.25,25158.06,10177.34,0.072,0.177,Moderately Stable,Yes,2,0,86.1,27813.34,36,19.85,Average,5,Yes,SAFE-MFI-v1,2025-05-09,2024-03-27,6,0.9526,Low,No,No,0.224,1
CUST000002,BR018,2023-01-14,South,Rural,46,Female,Divorced,3,Primary,Self-employed,Manufacturing,3,68684.41,37643.77,15153.86,7552.09,0.11,0.221,Stable,Yes,11,1,55.9,26179.79,36,9.77,Good,1,No,SAFE-MFI-v1,2023-09-13,2025-02-14,2,0.7311,Medium,No,No,0.296,1
CUST000003,BR019,2025-01-10,Central,Urban,46,Male,Single,3,Primary,Farmer,Retail,7,78595.39,46702.42,15295.59,18013.01,0.229,0.195,Stable,Yes,14,0,62.4,98761.31,18,14.22,Good,3,Yes,SAFE-MFI-v1,2024-06-30,2023-05-27,6,0.9526,Low,No,No,0.405,1
CUST000004,BR011,2025-12-29,South,Urban,38,Female,Widowed,4,Secondary,Artisan,Agriculture,10,105905.36,63815.89,17858.91,11443.72,0.108,0.169,Stable,Yes,1,1,83.1,228000.53,24,24.16,Good,2,No,SAFE-MFI-v1,2024-10-06,2024-03-11,4,0.8808,Medium,No,No,0.116,0
CUST000005,BR026,2025-07-28,South,Rural,23,Male,Married,1,Secondary,Artisan,Transport,18,103683.24,51126.37,63224.64,13159.02,0.127,0.61,Moderately Stable,Yes,4,0,30.8,67984.35,6,14.75,Average,1,Yes,SAFE-MFI-v1,2023-11-24,2025-05-14,5,0.9241,Low,No,No,0.142,1
CUST000006,BR025,2025-02-20,Central,Rural,42,Female,Single,2,None,Artisan,Manufacturing,20,89251.82,42678.28,5789.6,10724.02,0.12,0.065,Moderately Stable,Yes,13,0,59.0,56772.35,6,12.75,Poor,6,Yes,SAFE-MFI-v1,2025-10-22,2024-01-01,1,0.6225,High,Yes,No,0.045,1
CUST000007,BR007,2024-09-03,Central,Urban,34,Male,Divorced,5,Primary,Artisan,Services,0,47893.35,29497.6,6053.94,3311.88,0.069,0.126,Unstable,Yes,0,0,71.2,41765.96,18,13.16,Poor,3,Yes,SAFE-MFI-v1,2024-05-08,2023-06-11,-1,0.3775,High,Yes,No,0.27,0
CUST000008,BR032,2023-05-22,Central,Urban,31,Male,Widowed,3,Primary,Farmer,Services,19,101165.41,51305.46,44680.36,16425.06,0.162,0.442,Moderately Stable,No,17,1,73.2,106582.83,12,21.04,Average,4,No,SAFE-MFI-v1,2025-02-03,2025-06-16,2,0.7311,Medium,No,No,0.093,0
CUST000009,BR029,2023-09-05,South,Urban,30,Male,Divorced,8,None,Artisan,Services,7,128252.09,77687.28,62788.69,19309.45,0.151,0.49,Unstable,Yes,2,0,46.8,36480.29,6,11.54,Good,1,No,SAFE-MFI-v1,2023-05-26,2025-11-18,5,0.9241,Low,No,No,0.124,1
CUST000010,BR043,2025-09-21,South,Urban,44,Female,Married,3,Tertiary,Trader,Agriculture,3,73420.39,53817.99,32337.34,3593.77,0.049,0.44,Stable,No,11,0,81.6,43932.32,24,22.05,Poor,1,No,SAFE-MFI-v1,2023-07-21,2023-05-05,-1,0.3775,High,Yes,No,0.193,1
CUST000011,BR022,2023-08-12,South,Urban,44,Male,Widowed,2,Primary,Trader,Agriculture,8,68583.55,48641.71,18878.35,14012.67,0.204,0.275,Moderately Stable,Yes,2,0,67.6,106884.42,36,13.73,Good,6,No,SAFE-MFI-v1,2023-01-31,2023-07-11,4,0.8808,Medium,No,No,0.131,1
CUST000012,BR016,2023-12-07,West,Rural,59,Female,Married,6,Tertiary,Salaried,Agriculture,12,92641.36,41421.76,10838.45,5499.2,0.059,0.117,Stable,No,8,1,71.9,92684.29,24,11.47,Good,6,No,SAFE-MFI-v1,2025-09-23,2023-11-14,2,0.7311,Medium,No,No,0.262,1
CUST000013,BR014,2023-04-30,Central,Urban,30,Female,Single,1,None,Artisan,Transport,16,43567.32,23474.94,15089.73,14048.22,0.322,0.346,Unstable,Yes,16,0,43.4,80472.26,12,17.47,Good,1,No,SAFE-MFI-v1,2024-04-26,2025-04-06,5,0.9241,Low,No,No,0.224,1
